event_id,event_name
413,UFC Fight Night: Brown vs Silva
414,UFC 172: Jones vs Teixeira
415,UFC on FOX: Werdum vs Browne
416,UFC Fight Night: Bisping vs Kennedy
417,UFC Fight Night: Minotauro vs Nelson
418,UFC Fight Night: Shogun vs Henderson 2
419,UFC 171: Hendricks vs Lawler
420,UFC Fight Night: Gustafsson vs Manuwa
421,UFC Fight Night: Kim vs Hathaway
422,UFC 170: Rousey vs McMann
423,UFC Fight Night: Machida vs Mousasi
424,UFC 169: Barao vs Faber 2
425,UFC on FOX: Henderson vs Thomson
426,UFC Fight Night: Rockhold vs Philippou
427,UFC Fight Night: Saffiedine vs Lim
428,UFC 168: Weidman vs Silva 2
429,UFC on FOX: Johnson vs. Benavidez 2
430,UFC Fight Night: Hunt vs Bigfoot
431,The Ultimate Fighter: Team Rousey vs. Team Tate Finale
432,UFC 167: St-Pierre vs Hendricks
433,UFC Fight Night: Belfort vs Henderson 2
434,UFC Fight Night: Fight for the Troops 3
435,UFC Fight Night: Machida vs Munoz
436,UFC 166: Velasquez vs Dos Santos 3
437,UFC Fight Night: Maia vs Shields
438,UFC 165: Jones vs Gustafsson
439,UFC Fight Night: Teixeira vs Bader
440,UFC 164: Henderson vs Pettis 2
441,UFC Fight Night: Condit vs Kampmann 2
442,UFC Fight Night: Shogun vs Sonnen
443,UFC 163: Aldo vs Jung
444,UFC on FOX: Johnson vs Moraga
445,UFC 162: Silva vs Weidman
446,UFC 161: Evans vs Henderson
447,UFC on FUEL TV: Nogueira vs. Werdum
448,UFC 160: Velasquez vs Silva 2
449,UFC on FX: Belfort vs. Rockhold
450,UFC 159: Jones vs Sonnen
451,UFC on FOX: Henderson vs Melendez
452,The Ultimate Fighter: Team Jones vs. Team Sonnen Finale
453,UFC on FUEL TV: Mousasi vs Latifi
454,UFC 158: St-Pierre vs Diaz
455,UFC on FUEL TV: Silva vs. Stann
456,UFC 157: Rousey vs Carmouche
457,UFC on FUEL TV: Barao vs McDonald
458,UFC 156: Aldo vs Edgar
459,UFC on FOX: Johnson vs Dodson
460,UFC on FX: Belfort vs Bisping
461,UFC 155: Dos Santos vs Velasquez II
462,The Ultimate Fighter: Team Carwin vs. Team Nelson Finale
463,UFC on FX: Sotiropoulos vs Pearson
464,UFC on FOX: Henderson vs Diaz
465,UFC 154: St-Pierre vs Condit
466,UFC Macao: Franklin vs Le
467,UFC 153: Silva vs Bonnar
468,UFC on FX: Browne vs Bigfoot
469,UFC on FUEL TV: Struve vs Miocic
470,UFC 152: Jones vs Belfort
471,UFC 150: Henderson vs Edgar II
472,UFC on FOX: Shogun vs Vera
473,UFC 149: Faber vs Barao
474,UFC on FUEL TV: Munoz vs Weidman
475,UFC 148: Silva vs Sonnen 2
